2018-11-13T15:35:23.6608407+01:00  [INF] Getting the motors running... ()
2018-11-13T15:35:25.8247362+01:00  [INF] Loading trust into Graph ()
2018-11-13T15:35:26.3223787+01:00  [INF] Trust loaded: 7 ()
2018-11-13T15:35:26.6431943+01:00  [WRN] Overriding address(es) '"https://trust.dance"'. Binding to endpoints defined in "UseKestrel()" instead. ()
2018-11-13T15:35:26.8015219+01:00  [INF] 13/11/2018 15.35.26 - No proofs found ({ Id: 1 })
2018-11-13T15:35:29.3984497+01:00 0HLI9EL0CRGUR:00000001 [INF] HTTP "127.0.0.1" "GET" "/" responded 200 in 2256.9452 ms ()
2018-11-13T15:35:29.4192057+01:00 0HLI9EL0CRGUT:00000001 [INF] HTTP "127.0.0.1" "GET" "/css/round-about.css" responded 200 in 14.4743 ms ()
2018-11-13T15:35:29.4192057+01:00 0HLI9EL0CRGUS:00000001 [INF] HTTP "127.0.0.1" "GET" "/css/site.css" responded 200 in 14.4743 ms ()
2018-11-13T15:35:29.4287296+01:00 0HLI9EL0CRGUQ:00000001 [INF] HTTP "127.0.0.1" "GET" "/lib/bootstrap/dist/css/bootstrap.css" responded 200 in 24.0439 ms ()
2018-11-13T15:35:29.6159303+01:00 0HLI9EL0CRGUT:00000002 [INF] HTTP "127.0.0.1" "GET" "/js/site.js" responded 200 in 0.8919 ms ()
2018-11-13T15:35:29.6351791+01:00 0HLI9EL0CRGUS:00000002 [INF] HTTP "127.0.0.1" "GET" "/lib/bootstrap/dist/js/bootstrap.js" responded 200 in 20.6126 ms ()
2018-11-13T15:35:29.6692019+01:00 0HLI9EL0CRGUQ:00000002 [INF] HTTP "127.0.0.1" "GET" "/lib/jquery/dist/jquery.js" responded 200 in 54.7865 ms ()
2018-11-13T15:35:29.8037334+01:00 0HLI9EL0CRGUQ:00000003 [INF] HTTP "127.0.0.1" "GET" "/favicon.ico" responded 200 in 2.3482 ms ()
2018-11-13T15:35:40.7903582+01:00 0HLI9EL0CRGUQ:00000004 [INF] HTTP "127.0.0.1" "GET" "/trusts/" responded 200 in 929.5008 ms ()
2018-11-13T15:35:44.8807878+01:00 0HLI9EL0CRGUQ:00000005 [INF] HTTP "127.0.0.1" "GET" "/Trusts/Details" responded 200 in 661.3930 ms ()
2018-11-13T15:37:33.0618213+01:00 0HLI9EL0CRGUU:00000001 [INF] HTTP "127.0.0.1" "GET" "/packages/" responded 200 in 236.2390 ms ()
2018-11-13T15:37:36.2965135+01:00 0HLI9EL0CRGUU:00000002 [INF] HTTP "127.0.0.1" "GET" "/proofs/" responded 200 in 220.7171 ms ()
2018-11-13T15:37:37.8282683+01:00 0HLI9EL0CRGUU:00000003 [INF] HTTP "127.0.0.1" "GET" "/timestamps/" responded 200 in 252.8682 ms ()
2018-11-13T15:37:40.6927025+01:00 0HLI9EL0CRGUU:00000004 [INF] HTTP "127.0.0.1" "GET" "/Timestamps/Details" responded 200 in 274.4822 ms ()
2018-11-13T15:37:45.1329353+01:00 0HLI9EL0CRGUU:00000005 [INF] HTTP "127.0.0.1" "GET" "/Proofs/Details" responded 200 in 234.9415 ms ()
2018-11-13T15:37:49.3921109+01:00 0HLI9EL0CRGUU:00000006 [INF] HTTP "127.0.0.1" "GET" "/Proofs" responded 200 in 21.3390 ms ()
2018-11-13T15:37:57.3676783+01:00 0HLI9EL0CRGUU:00000007 [INF] HTTP "127.0.0.1" "GET" "/workflows/" responded 200 in 195.5612 ms ()
2018-11-13T15:37:59.9685078+01:00 0HLI9EL0CRGUU:00000008 [INF] HTTP "127.0.0.1" "GET" "/Workflows/Details" responded 200 in 181.4961 ms ()
2018-11-13T15:38:11.9855287+01:00 0HLI9EL0CRGUU:00000009 [INF] HTTP "127.0.0.1" "GET" "/Workflows/Details" responded 200 in 7.2492 ms ()
2018-11-13T15:38:21.1129569+01:00 0HLI9EL0CRGUU:0000000A [INF] HTTP "127.0.0.1" "GET" "/Workflows/Details" responded 200 in 2.8273 ms ()
2018-11-13T15:38:36.6093288+01:00 0HLI9EL0CRGV6:00000001 [INF] HTTP "127.0.0.1" "GET" "/" responded 200 in 1.1900 ms ()
2018-11-13T15:38:47.7252771+01:00 0HLI9EL0CRGV6:00000002 [INF] HTTP "127.0.0.1" "GET" "/About" responded 200 in 134.2621 ms ()
2018-11-13T15:38:47.7450035+01:00 0HLI9EL0CRGV6:00000003 [INF] HTTP "127.0.0.1" "GET" "/images/CK200.jpg" responded 200 in 11.6434 ms ()
2018-11-13T15:38:47.7454667+01:00 0HLI9EL0CRGV8:00000001 [INF] HTTP "127.0.0.1" "GET" "/images/TP200.jpg" responded 200 in 12.0376 ms ()
2018-11-13T15:38:48.7853091+01:00 0HLI9EL0CRGV8:00000002 [INF] HTTP "127.0.0.1" "GET" "/Statistics" responded 200 in 197.6750 ms ()
2018-11-13T15:38:55.1447262+01:00 0HLI9EL0CRGV8:00000003 [INF] HTTP "127.0.0.1" "GET" "/" responded 200 in 0.5593 ms ()
2018-11-13T15:39:09.3627583+01:00 0HLI9EL0CRGV8:00000004 [INF] HTTP "127.0.0.1" "GET" "/" responded 200 in 0.5649 ms ()
